status_tag,Cuisine,Ingredients,image,Url
7,醬油肉餅 【下飯料理】,pepper;egg;water;soy sauce;pork;sugar;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/122485/large_018743a99da84681.jpg,https://icook.tw/recipes/122485
4,油蔥酥餅＠梅花肉小餐桌,salt;flour;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/119529/large_1fb77bddf08bf5e0.jpg,https://icook.tw/recipes/119529
4,蛋餅皮,salt;flour;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/114455/large_602dc6cf3b84ac5f.jpg,https://icook.tw/recipes/114455
9,茄子煎餅가지전,pepper;egg;water;onion;flour;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/111597/large_2de2dbf27c9e918b.jpg,https://icook.tw/recipes/111597
0,免揉肉燥葱花鍋餅[統一肉燥風味醬],pepper;egg;water;onion;flour,https://tokyo-kitchen.icook.network/uploads/recipe/cover/107433/large_fbe8d37c3b27a0a7.jpg,https://icook.tw/recipes/107433
4,"簡單省錢""潤餅皮/春捲皮""",salt;flour;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/106523/large_6316036f9e2af7cd.jpg,https://icook.tw/recipes/106523
9,簡單做 ~ 蔥油餅,pepper;water;flour;onion;salt;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/103894/large_1e8d13712ee749c6.jpg,https://icook.tw/recipes/103894
9,DIY蔥油餅,pepper;water;flour;onion;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/104704/large_000e112fb1ec4deb.jpg,https://icook.tw/recipes/104704
2,蛋餅皮,salt;flour;egg;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/104232/large_9b33ea9427c1d2bf.jpg,https://icook.tw/recipes/104232
9,蔥花煎餅,salt;onion;water;flour,https://tokyo-kitchen.icook.network/uploads/recipe/cover/101529/large_1392c6d8a17bfec3.jpg,https://icook.tw/recipes/101529
0,蔬菜煎餅,pepper;onion;egg;flour,https://tokyo-kitchen.icook.network/uploads/recipe/cover/99741/large_40d72914d23d22a7.jpg,https://icook.tw/recipes/99741
9,[小吃]泡菜煎餅,salt;flour;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/84979/large_3e5b5ec306239e74.jpg,https://icook.tw/recipes/84979
0,香椿蔥花煎餅,flour;water;onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/74175/large_c3c75fab483e272f.jpg,https://icook.tw/recipes/74175
6,洋蔥煎餅,pepper;soy sauce;pork;onion;flour;oil;fish,https://tokyo-kitchen.icook.network/uploads/recipe/cover/58770/large_8e50fc6b22fc2bf0.jpg,https://icook.tw/recipes/58770
5,南瓜煎餅,sugar;flour;egg;water,https://tokyo-kitchen.icook.network/uploads/recipe/cover/55195/large_6d21b571f3ff1eb8.jpg,https://icook.tw/recipes/55195
5,日式煎餅,egg;soy sauce;sugar;flour;cream,https://tokyo-kitchen.icook.network/uploads/recipe/cover/41873/large_8deb1bf3cc88b37e.jpg,https://icook.tw/recipes/41873
6,快炒店人氣料理 蔥爆牛肉(不勾芡),pepper;beef;water;soy sauce;sugar;onion;oil,https://tokyo-kitchen.icook.network/uploads/recipe/cover/202936/large_955c39851fbd29cd.jpg,https://icook.tw/recipes/202936
0,蔥爆黑胡椒牛柳,onion,https://tokyo-kitchen.icook.network/uploads/recipe/cover/121604/large_2d435517739ab7f3.jpg,https://icook.tw/recipes/121604
6,蔥爆牛肉,beef,https://tokyo-kitchen.icook.network/uploads/recipe/cover/111675/large_9ef7753ecb965525.jpg,https://icook.tw/recipes/111675
6,♥我的手作料理♥ 宮保雞丁,soy sauce,https://tokyo-kitchen.icook.network/uploads/recipe/cover/15169/large_c11bfc83d4bf7fcf.jpg,https://icook.tw/recipes/15169
7,親子丼飯,chicken;soy sauce;onion;egg,https://tokyo-kitchen.icook.network/uploads/recipe/cover/244221/large_00f2ee339d03cc97.jpg,https://icook.tw/recipes/244221
